,Year,Year,,Sum of Pax Rev (000),Sum of Total Rev (000),Sum of RPM,Sum of ASM,Sum of AC Op Expense (000)
1,1,1995,,11385903.0,12557276.0,85175639000.0,130218905000.0,4860461.0
2,2,1996,,11980514.0,13317693.0,93929032000.0,133715498000.0,5831462.0
3,3,1997,,12772879.0,14203939.0,99688768000.0,138831369000.0,5359245.0
4,4,1998,,13179037.0,14629825.0,103342492000.0,142144077000.0,5238756.0
5,5,1999,,13203019.0,14901352.0,104783503000.0,144797441000.0,5495726.0
6,6,2000,,14138017.0,15320850.0,107852274000.0,147220898000.0,6414143.0
7,7,2001,,11875674.0,13211188.0,97665629000.0,141424772000.0,6451282.0
8,8,2002,,10734189.0,12410395.0,95324230477.0,131706734780.0,6119734.0
9,9,2003,,12174815.0,14203029.0,89429798852.0,120452629921.0,6321666.0
10,10,2004,,11848203.0,15154480.0,98275900298.0,129903699887.0,7215885.0
11,11,2005,,11346254.0,16111713.0,103737041182.0,133842554481.0,7693369.0
12,12,2006,,11660412.0,17339136.0,98908878911.0,125418489992.0,7568548.0
13,13,2007,,12767849.0,19238800.0,103450335919.0,127744601445.0,7415407.0
14,14,2008,,13766636.0,20972590.0,105699241230.0,128978258319.0,9245208.0
15,15,2009,,11205626.0,18046580.0,100735673135.0,122644119291.0,7820056.0
16,16,2010,,21214737.0,31893702.0,168142141224.0,200782859412.0,13134312.0
17,17,2011,,23397185.0,35315717.0,168289040591.0,203456507678.0,15531988.0
18,18,2012,,24427387.0,36916967.0,169591175609.0,200879775915.0,16386604.0
19,19,2013,,25800595.0,37818194.0,172924599803.0,204209504415.0,16251219.0
20,20,2014,,27952948.0,40426454.0,181194731198.0,212234999495.0,18942277.0
21,21,2015,,28217526.0,40815767.0,188374747751.0,220436969032.0,13936620.0
22,22,2016,,27375877.0,39849613.0,191721758239.0,225276441281.0,13161338.0
23,23,2017,,28235464.0,41475860.0,196882250855.0,228416396804.0,14323587.0
24,24,2018,,30864452.090000004,44537997.0,205322294449.0,238588032221.0,16141672.0
25,25,2019,,32847934.9,47126335.0,217904536072.0,251140475254.0,16031546.0
26,26,2020,,9568953.0,17117507.0,66563328427.0,120738534015.0,10418210.0
