,#,Date,Type,Operator,Fatalities,Flight type,Phase,Location,Country,Latitude,Longitude,"Ground
fatalities","Category 
(unconfirmed)"
0,1,2015-02-04 00:00:00,ATR 72-600 (72-212A),TransAsia Airways,43.0,Domestic Scheduled Passenger,Initial Climb,"5,3 km E of Taipei-Sung Shan Airport (TSA)",Taiwan,"25,062639","121,61754",,
1,2,2015-03-24 00:00:00,Airbus A320-211,Germanwings,150.0,International Scheduled Passenger,En Route,17 km SW of Barcelonnette,France,"44,292","6,474",,
2,3,2015-04-13 00:00:00,Swearingen SA226-TC Metro II,Carson Air,2.0,Cargo,En Route,"N of Vancouver, BC",Canada,"49,395755","-123,082589",,
3,4,2015-06-25 00:00:00,de Havilland Canada DHC-3T Vazar Turbine Otter,Promech Air,9.0,Domestic Non Scheduled Passenger,En Route,"near Ella Lake, Misty Fjords National Monument, AK",United States of America,"55,486382","-131,036356",,
4,5,2015-08-16 00:00:00,ATR 42-300,Trigana Air Service,54.0,Domestic Scheduled Passenger,En Route,"16,7 km NW of Oksibil Airport (OKL)",Indonesia,"-4,821483","140,499217",,
5,6,2015-09-15 00:00:00,de Havilland Canada DHC-3T Texas Turbine Otter,Rainbow King Lodge,3.0,Domestic Non Scheduled Passenger,Initial Climb,"E of Iliamna-East Wind Lake Seaplane Base, AK",United States of America,"59,772177","-154,909327",,
6,7,2015-10-02 00:00:00,de Havilland Canada DHC-6 Twin Otter 300,Aviastar Mandiri,10.0,Domestic Scheduled Passenger,En Route,Mount Latimojong,Indonesia,"-3,486928","120,098056",,
7,8,2015-10-31 00:00:00,Airbus A321-231,Metrojet,224.0,Int'l Non Scheduled Passenger,En Route,"ca 50 km SE of Hasna, North Sinai",Egypt,"30,16928","34,172104",,
8,9,2015-11-04 00:00:00,Antonov 12BK,Allied Services Limited,41.0,Cargo,Initial Climb,"0,8 km E of Juba Airport (JUB)",South Sudan,"4,848319","31,632525",,
9,10,2015-12-11 00:00:00,Cessna 208B Grand Caravan,Wasaya Airways,1.0,Cargo,En Route,"28 km NE of Pickle Lake Airport, ON",Canada,"51,585702","-89,879506",,
0,1,2016-01-08 00:00:00,Canadair CRJ-200PF,West Air Sweden,2.0,Cargo,En Route,near Akkajaure,Sweden,"67,66767","17,877352",,
1,2,2016-02-02 00:00:00,Airbus A321-111,Daallo Airlines,1.0,International Scheduled Passenger,En Route,near Mogadishu International Airport (MGQ),Somalia,"2,34707","45,493194",,
2,3,2016-02-24 00:00:00,Viking Air DHC-6 Twin Otter 400,Tara Air,23.0,Domestic Scheduled Passenger,En Route,"Dana, Myagdi district",Nepal,"28,538492","83,620687",,
