,#,Date,Type,Operator,Fatalities,Flight type,Phase,Location,Country,Latitude,Longitude,"Ground
fatalities","Category 
(unconfirmed)",Scheduled,Non-Scheduled
0,1,2015-02-04 00:00:00,ATR 72-600 (72-212A),TransAsia Airways,43.0,Domestic Scheduled Passenger,Initial Climb,"5,3 km E of Taipei-Sung Shan Airport (TSA)",Taiwan,"25,062639","121,61754",,,1,0
1,2,2015-03-24 00:00:00,Airbus A320-211,Germanwings,150.0,International Scheduled Passenger,En Route,17 km SW of Barcelonnette,France,"44,292","6,474",,,1,0
3,4,2015-06-25 00:00:00,de Havilland Canada DHC-3T Vazar Turbine Otter,Promech Air,9.0,Domestic Non Scheduled Passenger,En Route,"near Ella Lake, Misty Fjords National Monument, AK",United States of America,"55,486382","-131,036356",,,0,1
4,5,2015-08-16 00:00:00,ATR 42-300,Trigana Air Service,54.0,Domestic Scheduled Passenger,En Route,"16,7 km NW of Oksibil Airport (OKL)",Indonesia,"-4,821483","140,499217",,,1,0
5,6,2015-09-15 00:00:00,de Havilland Canada DHC-3T Texas Turbine Otter,Rainbow King Lodge,3.0,Domestic Non Scheduled Passenger,Initial Climb,"E of Iliamna-East Wind Lake Seaplane Base, AK",United States of America,"59,772177","-154,909327",,,0,1
6,7,2015-10-02 00:00:00,de Havilland Canada DHC-6 Twin Otter 300,Aviastar Mandiri,10.0,Domestic Scheduled Passenger,En Route,Mount Latimojong,Indonesia,"-3,486928","120,098056",,,1,0
7,8,2015-10-31 00:00:00,Airbus A321-231,Metrojet,224.0,Int'l Non Scheduled Passenger,En Route,"ca 50 km SE of Hasna, North Sinai",Egypt,"30,16928","34,172104",,,0,1
1,2,2016-02-02 00:00:00,Airbus A321-111,Daallo Airlines,1.0,International Scheduled Passenger,En Route,near Mogadishu International Airport (MGQ),Somalia,"2,34707","45,493194",,,1,0
2,3,2016-02-24 00:00:00,Viking Air DHC-6 Twin Otter 400,Tara Air,23.0,Domestic Scheduled Passenger,En Route,"Dana, Myagdi district",Nepal,"28,538492","83,620687",,,1,0
4,5,2016-03-19 00:00:00,Boeing 737-8KN (WL),flydubai,62.0,International Scheduled Passenger,Approach,Rostov Airport (ROV),Russia,"47,2655","39,8292",,,1,0
5,6,2016-04-01 00:00:00,Cessna 208B Grand Caravan,TADSA,3.0,Domestic Non Scheduled Passenger,En Route,near Tayoltita,Mexico,"23,935531","-106,393125",,,0,1
6,7,2016-05-19 00:00:00,Airbus A320-232,EgyptAir,66.0,International Scheduled Passenger,En Route,ca 200 km N of Egyptian coast,Mediterranean Sea,"33,675704","28,7902307",,,1,0
7,8,2016-07-20 00:00:00,Cessna 208B Grand Caravan EX,Joy General Aviation,5.0,Domestic Non Scheduled Passenger,Takeoff,off Jinshan City Beach,China,"30,715218","121,355721",,,0,1
8,9,2016-08-31 00:00:00,Cessna 208B Grand Caravan EX,Ravn Connect,3.0,Domestic Scheduled Passenger,En Route,"10 km NW of Russian Mission Airport, AK (RSH)",United States of America,"61,825533","-161,494481",,,1,0
9,10,2016-09-30 00:00:00,Cessna 208B Grand Caravan,Llanera de Aviación,4.0,Domestic Non Scheduled Passenger,Unknown,near San Antonio de Prado,Colombia,"6,198566","-75,647677",,,0,1
10,11,2016-10-02 00:00:00,Cessna 208B Grand Caravan,Ravn Connect,3.0,Domestic Scheduled Passenger,En Route,"19 km W of Togiak, AK",United States of America,"59,107496","-160,678876",,,1,0
12,13,2016-11-28 00:00:00,Avro RJ.85,LAMIA Bolivia,71.0,International Non Scheduled Passenger,En Route,S of Medellin,Colombia,"5,997332","-75,387577",,,0,1
14,15,2016-12-07 00:00:00,ATR 42-500,PIA,48.0,Domestic Scheduled Passenger,En Route,near Havelian,Pakistan,"34,01893","73,152251",,,1,0
2,3,2017-05-01 00:00:00,Cessna 208B Grand Caravan,Grant Aviation,1.0,Domestic Scheduled Passenger,En Route,"Chignik, AK",United States of America,,,,,1,0
6,7,2017-11-15 00:00:00,Let L-410UVP-E20,Khabarovsk Avia,6.0,Domestic Scheduled Passenger,Approach,"1,2 km SSW of Nelkan Airport",Russia,,,,,1,0
7,8,2017-11-15 00:00:00,Cessna 208B Grand Caravan,Coastal Aviation,11.0,Passenger,En Route,Empakaai area,Tanzania,,,,,1,0
8,9,2017-12-13 00:00:00,ATR 42-320,West Wind Aviation,1.0,Domestic Scheduled Passenger,Initial Climb,"near Fond-du-Lac Airport, SK",Canada,,,,,1,0
9,10,2017-12-31 00:00:00,Cessna 208B Grand Caravan,Nature Air,12.0,Domestic Non-Scheduled Passenger,Initial Climb,near Punta Islita,Costa Rica,,,,,0,1
0,1,2018-02-11 00:00:00,Antonov An-148-100B,Saratov Airlines,71.0,Domestic Scheduled Passenger,En Route,"near Stepanovskoye, Ramenskoye District",Russia,,,,Loss of control,1,0
